category,date,model,paper,author,organization,paper_url,publication,project,jupyter_note,summary,detail
Survey & Insight,2025/2/18,noise-unconditional model,Is Noise Conditioning Necessary for Denoising Generative Models?,"Qiao Sun, Zhicheng Jiang, Hanhong Zhao, Kaiming He",MiT,https://arxiv.org/pdf/2502.13129,ICML 2025,,,Theoretical and empirical analysis on denoising <u>diffusion models</u> <b>without a timestep input</b> for <u>image generation</u>.,"<ul>
    <li> Many denoising generative models perform robustly even in the absence of noise conditioning.
    <li> <u>Flow-based ones can even produce improved results without noise conditioning</u>.
</ul>"
Foundation Model & Algorithm,2025/2/14,Step-Video-T2V,"Step-Video-T2V Technical Report: The Practice, Challenges, and Future of Video Foundation Model",Step-Video Team,StepFun,https://arxiv.org/pdf/2502.10248,arXiv 2025,https://github.com/stepfun-ai/Step-Video-T2V/,,"<b>StepFun</b>'s <b>open-sourced</b> model (30B) for <u>text-to-video generation</u>, using <u>DiT structure</u> & RoPE-3D & QK-Norm & 16x16x8 VAE & two bilingual text encoders & DPO.","<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-02-14-Step-Video-T2V-fig1.png' width=500>
                <figcaption><b>Main structure:</b> a VAE, bilingual text encoders, DiT, and DPO.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2025-02-14-Step-Video-T2V-fig2.png' width=400>
            <figcaption><b>Video-VAE</b> compresses videos by <b>8x16x16</b> & <b>16-channel features</b>.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-02-14-Step-Video-T2V-fig4.png' width=500>
            <figcaption><b>DPO framework:</b> use data & synthesis prompts to generate winning & losing samples from different seeds, followed by human annotation. Adapt <b>Diffusion-DPO</b> here and <u>reduce beta</u> & <u>increase learning rate</u> to achieve faster convergence.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2025-02-14-Step-Video-T2V-fig3.png' width=400>
            <figcaption>Use <u>DiT</u> with <u>3D full-attention</u>, <u>cross-attention for prompts</u>, <u>RoPE-3D</u>, and <u>QK-Norm</u>. <u>HunyuanCLIP</u> and <u>Step-LLM</u> are used as the bilingual text encoders.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-02-14-Step-Video-T2V-fig5.png' width=900>
            <figcaption><b>2B video-text pairs</b>, <b>3.8B image-text pairs</b>. <b>Video segmentation:</b> use AdaptiveDetector in <u>PySceneDetect</u> to identify scene changes and use <u>FFmpeg</u> to split them. <b>Video quality assessment:</b> sample eight frames and evaluate. <b>Aesthetic score:</b> <u>LAION CLIP</u>-based aesthetic predictor. <b>NSFW score:</b> <u>LAION CLIP</u>-based NSFW detector. <b>Watermark detection:</b> EfficientNet-based model. <b>Subtitle detection:</b> use <u>PaddleOCR</u> to recognize and localize tests. <b>Saturation score:</b> transform from RGB to HSV and extract saturation channel. <b>Blur score:</b> <u>Laplacian variance</u>. <b>Black border detection:</b> <u>FFmpeg</u>. <b>Video motion assessment:</b> <u>mean optical flow</u>.<b>Video captioning:</b> short caption, dense caption, original title. <b>Video concept balancing:</b> use <u>K-means</u> to group into 120K clusters. <b>Video-text alignment:</b> CLIP Score. </figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-02-14-Step-Video-T2V-fig7.png' width=700>
            <figcaption><b>Pre-training</b> details. </figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2025-02-14-Step-Video-T2V-fig6.png' width=900>
                <figcaption><b>Data filtering</b> details. </figcaption>
            </figure>
        </td>
    </tr>
</table>"
"Reinforcement Learning, Inference-Time Improvement",2025/1/23,PARM,Images with CoT? Let's Verify and Reinforce Image Generation Step by Step,"Ziyu Guo, Renrui Zhang, Chengzhuo Tong, Zhizheng Zhao, Peng Gao, Hongsheng Li, Pheng-Ann Heng","CUHK, Peking University, Shanghai AI Lab",https://arxiv.org/pdf/2501.13926,arXiv 2025,https://github.com/ZiyuGuo99/Image-Generation-CoT/,,Apply <b>Chain-of-Thought</b> into <u>image generation</u> and combine it with reinforcement learning to further improve performance.,"<ul>
    <li>Test-time verification and DPO are effective, where Outcome Reward Model (ORM) and DPO performs better than Process Reward Model (PRM).</li>
    <li>Verification and DPO are complementary.</li>
    <li>Propose Potential Assessment Reward Model (PARM) to combine the advantages of ORM and PRM.</li>
    <li>Self-correction is useful.</li>
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-01-23-cot-fig1.png' width=650>
                <figcaption><b>ORM is coarse, PRM does not know when to make decision, PARM combines them.</b></figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2025-01-23-cot-fig2.png' width=250>
                <figcaption>Self-correction makes use of bad cases.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Reinforcement Learning,2025/1/23,Flow-RWR<br>Flow-DPO,Improving Video Generation with Human Feedback,"Jie Liu, Gongye Liu, Jiajun Liang, Ziyang Yuan, Xiaokun Liu, Mingwu Zheng, Xiele Wu, Qiulin Wang, Wenyu Qin, Menghan Xia, Xintao Wang, Xiaohong Liu, Fei Yang, Pengfei Wan, Di Zhang, Kun Gai, Yujiu Yang, Wanli Ouyang","CUHK, Tsinghua University, Kuaishou Technology, Shanghai Jiao Tong University, Shanghai AI Lab",https://arxiv.org/pdf/2501.13918,arXiv 2025,https://github.com/KwaiVGI/VideoAlign/,,A <u>human preference video dataset</u>; Adapt diffusion-based reinforcement learning to <u>flow-based</u> <u>video generation</u> models.,
Inference-Time Improvement,2025/1/16,Scaling Analysis,Inference-Time Scaling for Diffusion Models beyond Scaling Denoising Steps,"Ma, Shangyuan Tong, Haolin Jia, Hexiang Hu, Yu-Chuan Su, Mingda Zhang, Xuan Yang, Yandong Li, Tommi Jaakkola, Xuhui Jia, Saining Xie","NYU, MIT, Google",https://arxiv.org/pdf/2501.09732,CVPR 2025,,,Analysis on <b>inference-time scaling</b> of diffusion models for <u>image generation</u> from the axes of <b>verifiers</b> and <b>algorithms</b>.,"<ul>
    <li>Use some <u>verifiers</u> to provide <u>feedback</u>: FID, IS, CLIP, DINO; Aesthetic Score Predictor, CLIPScore, ImageReward, Ensemble.</li>
    <li>Use some <u>algorithms</u> to find <u>better noise</u>: <u>Random Search</u>, Zero-Order Search, Search Over Paths.</li>
    <li><u>Random Search</u>: run using different initial random noise and select the best by verifier.</li>
    <li><u>Zero-Order Search</u>: run under different random noise around a pivot noise and select the best by verifier, the best one is then served as a new pivot.</li>
    <li><u>Search Over Paths</u>: run under different random noise to a specific step, sample noises for each noisy sample and simulate forward process, then perform denoise and select the best candiates using verifier, continue this process until finish denoising.</li>
    <li><b>Random Search performs the best because it has larger search space and accelerates the convergence.</b></li>
    <li>Scaling through search leads to substantial improvement across model sizes.</li>
    <li>No single verifier-algorithm configuration is universally optimal.</li>
    <li><b>Inference-time search further improves performance of the model which has already been fine-tuned.</b></li>
    <li>Fewer denoising steps but more searching iterations enables efficient convergence but lower final performance.</li>
    <li>With a fixed inference compute budget, <u>performing search on small models can outperform larger models without search</u>.</li>
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2025-01-16-scaling-analysis fig1.png' width=400>
                <figcaption><b>Scale with search</b> is more effective than denoising steps.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2025-01-16-scaling-analysis fig2.png' width=500>
                <figcaption><b>Random Search</b> performs the best because it converges fastest.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2024/12/24,FGA-BLIP2,EvalMuse-40K: A Reliable and Fine-Grained Benchmark with Comprehensive Human Annotations for Text-to-Image Generation Model Evaluation,"Shuhao Han, Haotian Fan, Jiachen Fu, Liang Li, Tao Li, Junhui Cui, Yunqiu Wang, Yang Tai, Jingwei Sun, Chunle Guo, Chongyi Li","Nankai University, ByteDance Inc, NKIARI",https://arxiv.org/pdf/2412.18150,arXiv 2024,https://github.com/DYEvaLab/EvalMuse/,,Use 40K image-text pairs with fine-grained human annotations for <u>image generation evaluation</u>.,
Inference-Time Improvement,2024/12/14,Z-Sampling,Zigzag Diffusion Sampling: Diffusion Models Can Self-Improve via Self-Reflection,"Lichen Bai, Shitong Shao, Zikai Zhou, Zipeng Qi, Zhiqiang Xu, Haoyi Xiong, Zeke Xie","The Hong Kong University of Science and Technology (Guangzhou), Mohamed bin Zayed University of Artificial Intelligence, Baidu Inc",https://arxiv.org/pdf/2412.10891,ICLR 2025,https://github.com/xie-lab-ml/Zigzag-Diffusion-Sampling/,,Use <b>guidance gap between denosing and inversion</b> and iteratively perform them to improve <u>image generation</u> quality.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2024-12-14-Z-Sampling-fig1.png' width=230>
                <figcaption>Iterative <b>denoising & inversion</b>.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2024-12-14-Z-Sampling-fig2.png' width=340>
        <figcaption>Capture more <b>semantics</b> by denoising more times.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2024-12-14-Z-Sampling-fig3.png' width=330>
        <figcaption>More <b>efficient & effective</b> than standard.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Survey & Insight,2024/12/9,Flow Matching Guide and Code,Flow Matching Guide and Code,"Yaron Lipman, Marton Havasi, Peter Holderrieth, Neta Shaul, Matt Le, Brian Karrer, Ricky T. Q. Chen, David Lopez-Paz, Heli Ben-Hamu, Itai Gat","FAIR at Meta, MIT CSAIL, Weizmann Institute of Science",https://arxiv.org/pdf/2412.06264,arXiv 2024,https://github.com/facebookresearch/flow_matching/,,"Comprehensive and self-contained review of the <b>flow matching</b> algorithm, covering its mathmatical foundations, design choices, extensions, and code implementations.",
Foundation Model & Algorithm,2024/12/5,Infinity,Infinity: Scaling Bitwise AutoRegressive Modeling for High-Resolution Image Synthesis,"Jian Han, Jinlai Liu, Yi Jiang, Bin Yan, Yuqi Zhang, Zehuan Yuan, Bingyue Peng, Xiaobing Liu",ByteDance,https://arxiv.org/pdf/2412.04431,arXiv 2024,https://github.com/FoundationVision/Infinity/,,"It improves VAR by applying <b>bitwise modeling</b> that makes vocabulary ""infinity"" to open up new posibilities of discrete <u>text-to-image generation</u> with <u>next-scale prediction</u> paradigm.","<table>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-12-05-Infinity-fig1.png' width=600>
                <figcaption><b>Viusal tokenization and quantization:</b> instead of predicting 2**d indices, infinite-vocabulary classifier predicts d bits instead.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-12-05-Infinity-fig2.png' width=600>
        <figcaption><b>Text prompt:</b> T5 text embedding is projected into a token as the input of the first scale.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td>
            <figure>
                <img src='figs/2024-12-05-Infinity-fig3.png' width=500>
                <figcaption><b>Performance:</b> Infinity is fast & better.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2024-12-05-Infinity-fig4.png' width=400>
                <figcaption><b>Tokenizer performance:</b> discrete outperforms continuous.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td>
            <figure>
                <img src='figs/2024-12-05-Infinity-fig5.png' width=500>
                <figcaption><b>Inifinite-Vocabulary Classifier:</b> low memory & better.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2024-12-05-Infinity-fig8.png' width=400>
                <figcaption><b>Self-correction</b> mitigates the train-test discrepancy.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-12-05-Infinity-fig6.png' width=900>
                <figcaption><b>Scaling up vocabulary:</b> larger vocabulary & larger model size performs the best.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-12-05-Infinity-fig7.png' width=900>
                <figcaption><b>Scaling model size:</b> strong correlation between validation loss and evaluation metrics.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-12-05-Infinity-fig9.png' width=900>
                <figcaption><b>2D RoPE</b> outperforms APE.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2024/12/3,HunyuanVideo,HunyuanVideo: A Systematic Framework For Large Video Generative Models,Hunyuan Multimodal Generation Team,Tencent,https://arxiv.org/pdf/2412.03603,arXiv 2024,https://github.com/Tencent/HunyuanVideo/,,"<b>Tencent</b> (Hunyuan Team)'s <b>open-sourced</b> <u>video generation</u> model (13B) using <u>diffusion transformer</u> and conducting fine-grained data curation, captioning, and training scaling.",
Fine-Tuning,2024/11/27,Reliable Seed,Enhancing Compositional Text-to-Image Generation with Reliable Random Seeds,"Shuangqi Li, Hieu Le, Jingyi Xu, Mathieu Salzmann","EPFL, Stony Brook University",https://arxiv.org/pdf/2411.18810,ICLR 2025,,,"The <b>noises initialized by reliable seeds</b> result in accurate <u>image generation</u> such as <u>numeracy</u> and <u>position</u>, and use these generated data for fine-tuning further improves performance.","<ul>
    <li> There is a strong correlation between initial seeds and object arrangement.
    <li> Certain noise signals are more likely to result in accurate compositional generation: numeracy and position.
</ul>"
Foundation Model & Algorithm,2024/10/17,MovieGen,Movie Gen: A Cast of Media Foundation Models, Adam Polyak et al.,Meta,https://arxiv.org/pdf/2410.13720,arXiv 2024,,,A <u>diffusion transformer</u>-based model (30B) for 16s / 1080p / 16 fps <u>video and synchronized audio generation</u>.,
Foundation Model & Algorithm,2024/10/17,Fluid,Fluid: Scaling Autoregressive Text-to-image Generative Models with Continuous Tokens,"Lijie Fan, Tianhong Li, Siyang Qin, Yuanzhen Li, Chen Sun, Michael Rubinstein, Deqing Sun, Kaiming He, Yonglong Tian","Google DeepMind, MIT",https://arxiv.org/pdf/2410.13863,ICLR 2025,,,"It shows <u>auto-regressive</u> models with <b>continuous tokens beat discrete tokens counterpart</b>, and some interesting empirical observations during scaling progress.","<table>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-10-17-Fluid-fig1.png' width=700>
                <figcaption>
                    <b>Image tokenizer:</b> images are converted to either discrete (<u>VQGAN</u>, 16x16 tokens with 8192 vocabulary) or continuous tokens (<u>VAE</u>, 32x32 with 4 channels, patchisize to 256 tokens with 16 channels).
                    <br><b>Text tokenizer:</b> text (max length 128) is converted to discrete tokens using <u>T5-XXL</u>.
                    <br><b>Model structure:</b> transformer with cross-attention attending to text embedding.
                    <br><b>Decoder:</b> text: softmax with cross-entropy loss; image: MLP with diffusion loss.
                </figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-10-17-Fluid-fig2.png' width=700>
                <figcaption><b>Validation losses</b> consistently scale with model size.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-10-17-Fluid-fig3.png' width=700>
                <figcaption><b>Random-order</b> models & <b>continuous tokens</b> perform the best in <b>evaluation scores</b>.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-10-17-Fluid-fig4.png' width=700>
                <figcaption><b>Random-order</b> models & <b>continuous tokens</b> scale with <b>training computes</b>.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td colspan=""2"">
            <figure>
                <img src='figs/2024-10-17-Fluid-fig5.png' width=700>
                <figcaption>Strong correlation between <b>validation loss & evaluation metrics</b>.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2024/7/19,T2V-CompBench,T2V-CompBench: A Comprehensive Benchmark for Compositional Text-to-video Generation,"Kaiyue Sun, Kaiyi Huang, Xian Liu, Yue Wu, Zihan Xu, Zhenguo Li, Xihui Liu","The University of Hong Kong, The Chinese University of Hong Kon, Huawei Noah's Ark Lab",https://arxiv.org/pdf/2407.14505,arXiv 2024,https://github.com/KaiyueSun98/T2V-CompBench/,,"Use 1400 prompts to evaluate <u>video generation</u> on <b>compositional generation</b>, including consistent attribute binding, dynamic attribute binding, sptial relationships, motion binding, action binding, object interations, generative numeracy.","<ul>
    <li> Find nouns and verbs by identifying them using WordNet from Pika Discord channels, used to generate prompts by GPT-4.
    <li> <u>Consistent attribute binding:</u> two objects, two attributes, and at least one active verb from color, shape, texture, and human-related attributes.
    <li> <u>Dynamic attribute binding:</u> color and light change, shape and size change, texture change, combined change.
    <li> <u>Spatial relationships:</u> two objects with spatial relationships like ""on the left of"".
    <li> <u>Motion binding:</u> one or two objects with specified moving direction like ""leftwards"".
    <li> <u>Action binding:</u> bind actions to corresponding objects.
    <li> <u>Object interactions:</u> dynamic interactions like pysical interactions.
    <li> <u>Generative numeracy:</u> a specific number of objects.
    <li> <u>Video LLM-based metrics (Grid-LLaVa)</u> is used for evaluating consistent attribute binding, action binding, object interactions.
    <li> <u>Image LLM-based metrics (LLaVa)</u> is used for evaluating dynamic attribute binding.
    <li> <u>Grounding DINO</u> is used for evaluating spatial relationships and numeracy.
    <li> <u>Grounding SAM + DOT</u> is used for evaluating motion binding.
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2024-07-19-t2vcompbench-fig1.png' width=900>
                <figcaption>T2V-CompBench: categories (left), evaluation methods (middle), and benchmarking model performance (right).</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2024/7/16,DiT-MoE,Scaling Diffusion Transformers to 16 Billion Parameters,"Zhengcong Fei, Mingyuan Fan, Changqian Yu, Debang Li, Junshi Huang",Kunlun Inc.,https://arxiv.org/pdf/2407.11633,arXiv 2024,https://github.com/feizc/DiT-MoE/,,A <u>diffusion transformer</u> (16B) with <b>MoE</b> that inserts experts into DiT blocks for <u>image generation</u>.,"<ul>
    <li> Incorporating <u>shared expert</u> routing accelerates training and improves performance, but the improvement is little when using more than one expert.
    <li> Observe the <u>scaling performance</u>.
    <li> <u>Increasing experts</u> <u>reduces loss</u> but introduces <u>more loss spikes</u>.
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2024-07-16-DiT-MoE-fig1.png' width=700>
                <figcaption>DiT-MoE is built upon <b>DiT</b> and replaces MLP of Transformer block by sparsely activatd mixture of MLPs as experts.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2024/6/10,LlamaGen,Autoregressive Model Beats Diffusion: Llama for Scalable Image Generation,"Peize Sun, Yi Jiang, Shoufa Chen, Shilong Zhang, Bingyue Peng, Ping Luo, Zehuan Yuan","The University of Hong Kong, ByteDance",https://arxiv.org/pdf/2406.06525,arXiv 2024,https://github.com/FoundationVision/LlamaGen/,,"Show that applying ""next-token prediction"" to <b>vanilla autoregressive models</b> achieves good <u>class-conditional & text-conditional image generation</u> performance.","<ul>
    <li> Discrete representation in image tokenizers is no longer the bottleneck of the image reconstruction.
    <li> Vanilla autoregressive models without inductive biases on visual signals can serve as the basis of image generation system.
    <li> High-quality training data: 50M subset of LAION-COCO & 10M internal high aesthetics quality images.
</ul>"
Evaluation,2024/5/23,MPS,Learning Multi-dimensional Human Preference for Text-to-Image Generation,"Sixian Zhang, Bohan Wang, Junqiang Wu, Yan Li, Tingting Gao, Di Zhang, Zhongyuan Wang",Kuaishou Technology,https://arxiv.org/pdf/2405.14705,CVPR 2024,https://github.com/Kwai-Kolors/MPS?tab=readme-ov-file/,,"Apply condition upon CLIP to learn <b>multi-dimensional preference score</b>: aesthetics & alignment & detail & overall, trained on a dataset with 92K preference choices of 61K images.",
Foundation Model & Algorithm,2024/4/3,VAR,Visual Autoregressive Modeling: Scalable Image Generation via Next-Scale Prediction,"Keyu Tian, Yi Jiang, Zehuan Yuan, Bingyue Peng, Liwei Wang","Peking University, Bytedance Inc",https://arxiv.org/pdf/2404.02905,"<font color=""#D93053"">NeurIPS 2024 Best Paper</font>",https://github.com/FoundationVision/VAR/,,"Employ <b>next-scale prediction</b> to make <u>auto-regressive models surpass diffusion transformers</u> for <u>image generation</u> on image quality, inference speed, data efficiency, scalability.","<table>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-04-03-VAR-fig1.png' width=800>
                <figcaption><b>Next-scale prediction:</b> it starts from the 1x1 token map, and progressively expands in resolution; at each step, the transformer predicts the next higher-resolution token map conditioned on all previous ones.</figcaption>
            </figure>
        </td>
    </tr>
    <tr >
        <td>
            <figure>
                <img src='figs/2024-04-03-VAR-fig2.png' width=400>
                <figcaption>VAR shows good <b>scaling behavior</b>, and significantly outperforms DiT.</figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-04-03-VAR-fig3.png' width=900>
                <figcaption><b>Training pipeline of tokenzier and VAR.</b>  Tokenzier: the same architecture, training data (OpemImages) as VQVAE, using codebook of 4096 and spatial downsample ratio of 16x. VAR: the standard transformers architecture with AdaLN; do not use RoPE, SwiGLU MLP, RMS Norm. </figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-04-03-VAR-fig4.png' width=800>
                <figcaption><b>Encoding & reconstruction process of tokenizer.</b></figcaption>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2024/4/1,VQAScore,Evaluating Text-to-Visual Generation with Image-to-Text Generation,"Zhiqiu Lin, Deepak Pathak, Baiqi Li, Jiayao Li, Xide Xia, Graham Neubig, Pengchuan Zhang, Deva Ramanan","Crnegie Mellon University, Meta",https://arxiv.org/pdf/2404.01291,ECCV 2024,https://github.com/linzhiqiu/t2v_metrics/,,"<u>VQAScore</u>: alignment probability of ""yes"" answer from a <b>VQA</b> model with CLIP-FlanT5 structure; <u>GenAI-Bench</u>: evaluation benchmark with 1600 prompts for <u>image generation</u>.","<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2024-04-01-VQAScore-fig1.png' width=600>
                <figcaption>Evaluate by computing probability of answering ""yes"" from a trained <b>VQA</b> model by feeding the prompt and the generated image.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Acceleration,2024/3/18,SD3-Turbo,High-Resolution Image Synthesis with Latent Adversarial Diffusion Distillation,"Axel Sauer, Frederic Boesel, Tim Dockhorn, Andreas Blattmann, Patrick Esser, Robin Rombach",Stability AI,https://arxiv.org/pdf/2502.16965,SIGGRAPH Asia 2024,,,Perform distillation of diffusion models in <b>latent space</b> using <b>teacher-synthetic data</b> and optimizing only an adversarial loss with the <b>teacher as the discriminator</b>.,"<table>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig1.png' width=600>
                <figcaption><b>ADD:</b> (1) An adversarial loss for deceiving a discriminator (DINO v2); (2) A distillation loss for matching denoised output to that of a teacher. <br><b>LADD:</b> (1) Use teacher generated images instead of real images for distillation; (2) Use teacher as the discrinimator. <br><b>Advantages:</b> (1) Save memory and improve efficiency; (2) Diffusion model teacher as the discriminator provides noise-level feedback; (3) Diffusion model as the discriminator handles multi-aspect ratio; (4) Diffusion model as the discriminator aligns with human perception on shape.</figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig2.png' width=700>
                <figcaption>(1) Training with <b>synthetic data works better than real data</b>. (2) Training on synthetic data <b>only needs the adversarial loss</b>.</figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig3.png' width=700>
                <figcaption>(1) Training using <b>LADD performs better than LCM</b>. (2) LCM may need larger models like SDXL-LCM, instand of SD1.5-LCM.</figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig4.png' width=700>
                <figcaption><b>Student model size</b> significant impacts performance, while the benefits of teacher models and data quality plateau.</figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig5.png' width=700>
                <figcaption>Use <b>LoRA for DPO-traning</b>, and <b>apply DPO-LoRA after LADD training</b>.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
"Fine-Tuning, Evaluation",2024/3/8,DPG-Bench<br>ELLA,ELLA: Equip Diffusion Models with LLM for Enhanced Semantic Alignment,"Xiwei Hu, Rui Wang, Yixiao Fang, Bin Fu, Pei Cheng, Gang Yu",Tencent,https://arxiv.org/pdf/2403.05135,arXiv 2024,https://github.com/TencentQQGYLab/ELLA/,,ELLA: Replace CLIP with <b>LLM</b> to understand dense prompts; DPG-Bench: evaluate <u>image generation</u> on <b>dense prompts</b>.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2024-03-08-DPG-Bench-fig1.png' width=800>
            </figure>
        </td>
    </tr>
</table>"
Reinforcement Learning,2023/12/19,InstructVideo,InstructVideo: Instructing Video Diffusion Models with Human Feedback,"Hangjie Yuan, Shiwei Zhang, Xiang Wang, Yujie Wei, Tao Feng, Yining Pan, Yingya Zhang, Ziwei Liu, Samuel Albanie, Dong Ni","Zhejiang University, Alibaba Group, Tsinghua University, Singapore University of Technology and Design, Nanyang Technological University, University of Cambridge",https://arxiv.org/pdf/2312.12490,CVPR 2024,https://github.com/ali-vilab/VGen/,,Use HPS v2 to provide reward and train <u>video generation</u> models in an editing manner.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-12-19-InstructVideo-fig1.png' width=700>
                <figcaption>It takes reward fine-tuning as an <b>editing task</b> to accelerate training. The reward model is HPS v2. TAR assigns larger weight to central frames.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
